dato,skole,elevdag,sfodag,kommentar
2016-12-28,Buøy skole,Nei,Ja,Juleferie
2016-12-29,Buøy skole,Nei,Ja,Juleferie
2016-12-30,Buøy skole,Nei,Ja,Juleferie
2017-01-01,Buøy skole,Nei,Nei,1. Nyttårsdag
2017-01-02,Buøy skole,Nei,Ja,Planleggingsdag
2017-02-27,Buøy skole,Nei,Ja,Vinterferie
2017-02-28,Buøy skole,Nei,Ja,Vinterferie
2017-03-01,Buøy skole,Nei,Ja,Vinterferie
2017-03-02,Buøy skole,Nei,Ja,Vinterferie
2017-03-03,Buøy skole,Nei,Ja,Vinterferie
2017-04-09,Buøy skole,Nei,Nei,Palmesøndag
2017-04-10,Buøy skole,Nei,Ja,Påskeferie
2017-04-11,Buøy skole,Nei,Ja,Påskeferie
2017-04-12,Buøy skole,Nei,Ja,Påskeferie
2017-04-13,Buøy skole,Nei,Nei,Skjærtorsdag
2017-04-14,Buøy skole,Nei,Nei,Langfredag
2017-04-16,Buøy skole,Nei,Nei,1. påskedag
2017-04-17,Buøy skole,Nei,Nei,2. påskedag
2017-05-01,Buøy skole,Nei,Nei,Off. Høytidsdag
2017-05-17,Buøy skole,Nei,Nei,Grunnlovsdag
2017-05-25,Buøy skole,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Buøy skole,Nei,Nei,Planleggingsdag
2017-06-04,Buøy skole,Nei,Nei,1. pinsedag
2017-06-05,Buøy skole,Nei,Nei,2. pinsedag
2017-06-30,Buøy skole,Nei,Ja,siste dag  - sfo
2016-08-01,Byfjord skole,Nei,Nei,Planleggingsdag
2016-08-02,Byfjord skole,Nei,Ja,første dag  - sfo
2016-08-11,Byfjord skole,Nei,Nei,Planleggingsdag
2016-08-12,Byfjord skole,Nei,Nei,Planleggingsdag
2016-08-15,Byfjord skole,Nei,Ja,Planleggingsdag
2016-08-16,Byfjord skole,Nei,Ja,Planleggingsdag
2016-08-17,Byfjord skole,Nei,Ja,Planleggingsdag
2016-10-10,Byfjord skole,Nei,Ja,Høstferie
2016-10-11,Byfjord skole,Nei,Ja,Høstferie
2016-10-12,Byfjord skole,Nei,Ja,Høstferie
2016-10-13,Byfjord skole,Nei,Ja,Høstferie
2016-10-14,Byfjord skole,Nei,Ja,Høstferie
2016-11-18,Byfjord skole,Nei,Nei,Planleggingsdag
2016-12-22,Byfjord skole,Nei,Ja,Juleferie
2016-12-23,Byfjord skole,Nei,Ja,Juleferie
2016-12-25,Byfjord skole,Nei,Nei,1. juledag
2016-12-26,Byfjord skole,Nei,Nei,2. juledag
2016-12-27,Byfjord skole,Nei,Ja,Juleferie
2016-12-28,Byfjord skole,Nei,Ja,Juleferie
2016-12-29,Byfjord skole,Nei,Ja,Juleferie
2016-12-30,Byfjord skole,Nei,Ja,Juleferie
2017-01-01,Byfjord skole,Nei,Nei,1. Nyttårsdag
2017-01-02,Byfjord skole,Nei,Ja,Juleferie
2017-02-27,Byfjord skole,Nei,Ja,Vinterferie
2017-02-28,Byfjord skole,Nei,Ja,Vinterferie
2017-03-01,Byfjord skole,Nei,Ja,Vinterferie
2017-03-02,Byfjord skole,Nei,Ja,Vinterferie
2017-03-03,Byfjord skole,Nei,Ja,Vinterferie
2017-04-09,Byfjord skole,Nei,Nei,Palmesøndag
2017-04-10,Byfjord skole,Nei,Ja,Påskeferie
2017-04-11,Byfjord skole,Nei,Ja,Påskeferie
2017-04-12,Byfjord skole,Nei,Ja,Påskeferie
2017-04-13,Byfjord skole,Nei,Nei,Skjærtorsdag
2017-04-14,Byfjord skole,Nei,Nei,Langfredag
2017-04-16,Byfjord skole,Nei,Nei,1. påskedag
2017-04-17,Byfjord skole,Nei,Nei,2. påskedag
2017-05-01,Byfjord skole,Nei,Nei,Off. Høytidsdag
2017-05-17,Byfjord skole,Nei,Nei,Grunnlovsdag
2017-05-25,Byfjord skole,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Byfjord skole,Nei,Nei,Fridag
2017-06-04,Byfjord skole,Nei,Nei,1. pinsedag
2017-06-05,Byfjord skole,Nei,Nei,2. pinsedag
2017-06-30,Byfjord skole,Nei,Ja,siste dag - sfo
2016-08-01,Eiganes skole,Nei,Ja,Første dag- SFO
2016-08-15,Eiganes skole,Nei,Nei,Planleggingsdag
2016-08-16,Eiganes skole,Nei,Nei,Planleggingsdag
2016-08-17,Eiganes skole,Nei,Nei,Planleggingsdag
2016-10-10,Eiganes skole,Nei,Ja,Høstferie
2016-10-11,Eiganes skole,Nei,Ja,Høstferie
2016-10-12,Eiganes skole,Nei,Ja,Høstferie
2016-10-13,Eiganes skole,Nei,Ja,Høstferie
2016-10-14,Eiganes skole,Nei,Ja,Høstferie
2016-11-17,Eiganes skole,Nei,Nei,Planleggingsdag
2016-11-18,Eiganes skole,Nei,Nei,Planleggingsdag
2016-12-22,Eiganes skole,Nei,Ja,Juleferie
2016-12-23,Eiganes skole,Nei,Ja,Juleferie
2016-12-25,Eiganes skole,Nei,Nei,1. juledag
2016-12-26,Eiganes skole,Nei,Nei,2. juledag
2016-12-27,Eiganes skole,Nei,Ja,Juleferie
2016-12-28,Eiganes skole,Nei,Ja,Juleferie
2016-12-29,Eiganes skole,Nei,Ja,Juleferie
2016-12-30,Eiganes skole,Nei,Ja,Juleferie
2017-01-01,Eiganes skole,Nei,Nei,1. Nyttårsdag
2017-01-02,Eiganes skole,Nei,Ja,Juleferie
2017-02-27,Eiganes skole,Nei,Ja,Vinterferie
2017-02-28,Eiganes skole,Nei,Ja,Vinterferie
2017-03-01,Eiganes skole,Nei,Ja,Vinterferie
2017-03-02,Eiganes skole,Nei,Ja,Vinterferie
2017-03-03,Eiganes skole,Nei,Ja,Vinterferie
2017-04-09,Eiganes skole,Nei,Nei,Palmesøndag
2017-04-10,Eiganes skole,Nei,Ja,Påskeferie
2017-04-11,Eiganes skole,Nei,Ja,Påskeferie
2017-04-12,Eiganes skole,Nei,Ja,Påskeferie
2017-04-13,Eiganes skole,Nei,Nei,Skjærtorsdag
2017-04-14,Eiganes skole,Nei,Nei,Langfredag
2017-04-16,Eiganes skole,Nei,Nei,1. påskedag
2017-04-17,Eiganes skole,Nei,Nei,2. påskedag
2017-05-01,Eiganes skole,Nei,Nei,Off. Høytidsdag
2017-05-17,Eiganes skole,Nei,Nei,Grunnlovsdag
2017-05-25,Eiganes skole,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Eiganes skole,Nei,Ja,Fridag
2017-06-04,Eiganes skole,Nei,Nei,1. pinsedag
2017-06-05,Eiganes skole,Nei,Nei,2. pinsedag
2017-06-30,Eiganes skole,Nei,Ja,siste dag  - sfo
2016-08-01,Gausel skole,Nei,Nei,Planleggingsdag
2016-08-02,Gausel skole,Nei,Ja,første dag - sfo
2016-08-15,Gausel skole,Nei,Nei,Planleggingsdag
2016-08-16,Gausel skole,Nei,Nei,Planleggingsdag
2016-08-17,Gausel skole,Nei,Nei,Planleggingsdag
2016-10-10,Gausel skole,Nei,Ja,Høstferie
2016-10-11,Gausel skole,Nei,Ja,Høstferie
2016-10-12,Gausel skole,Nei,Ja,Høstferie
2016-10-13,Gausel skole,Nei,Ja,Høstferie
2016-10-14,Gausel skole,Nei,Ja,Høstferie
2016-11-18,Gausel skole,Nei,Nei,Planleggingsdag
2016-12-22,Gausel skole,Nei,Ja,Juleferie
2016-12-23,Gausel skole,Nei,Ja,Juleferie
2016-12-25,Gausel skole,Nei,Nei,1. juledag
2016-12-26,Gausel skole,Nei,Nei,2. juledag
2016-12-27,Gausel skole,Nei,Ja,Juleferie
2016-12-28,Gausel skole,Nei,Ja,Juleferie
2016-12-29,Gausel skole,Nei,Ja,Juleferie
2016-12-30,Gausel skole,Nei,Ja,Juleferie
2017-01-01,Gausel skole,Nei,Nei,1. Nyttårsdag
2017-01-02,Gausel skole,Nei,Ja,Juleferie
2017-02-27,Gausel skole,Nei,Ja,Vinterferie
2017-02-28,Gausel skole,Nei,Ja,Vinterferie
2017-03-01,Gausel skole,Nei,Ja,Vinterferie
2017-03-02,Gausel skole,Nei,Ja,Vinterferie
2017-03-03,Gausel skole,Nei,Ja,Vinterferie
2017-04-09,Gausel skole,Nei,Nei,Palmesøndag
2017-04-10,Gausel skole,Nei,Ja,Påskeferie
2017-04-11,Gausel skole,Nei,Ja,Påskeferie
2017-04-12,Gausel skole,Nei,Ja,Påskeferie
2017-04-13,Gausel skole,Nei,Nei,Skjærtorsdag
2017-04-14,Gausel skole,Nei,Nei,Langfredag
2017-04-16,Gausel skole,Nei,Nei,1. påskedag
2017-04-17,Gausel skole,Nei,Nei,2. påskedag
2017-05-01,Gausel skole,Nei,Nei,Off. Høytidsdag
2017-05-17,Gausel skole,Nei,Nei,Grunnlovsdag
2017-05-25,Gausel skole,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Gausel skole,Nei,Nei,Planleggingsdag
2017-06-04,Gausel skole,Nei,Nei,1. pinsedag
2017-06-05,Gausel skole,Nei,Nei,2. pinsedag
2017-06-30,Gausel skole,Nei,Ja,siste dag -  sfo
2016-08-01,Gautesete skole,Nei,Ja,første dag - sfo
2016-08-15,Gautesete skole,Nei,Nei,Planleggingsdag
2016-08-16,Gautesete skole,Nei,Nei,Planleggingsdag
2016-08-17,Gautesete skole,Nei,Nei,Planleggingsdag
2016-10-10,Gautesete skole,Nei,Ja,Høstferie
2016-10-11,Gautesete skole,Nei,Ja,Høstferie
2016-10-12,Gautesete skole,Nei,Ja,Høstferie
2016-10-13,Gautesete skole,Nei,Ja,Høstferie
2016-10-14,Gautesete skole,Nei,Ja,Høstferie
2016-11-18,Gautesete skole,Nei,Nei,Planleggingsdag
2016-12-23,Gautesete skole,Nei,Ja,Juleferie
2016-12-25,Gautesete skole,Nei,Nei,1. juledag
2016-12-26,Gautesete skole,Nei,Nei,2. juledag
2016-12-27,Gautesete skole,Nei,Ja,Juleferie
2016-12-28,Gautesete skole,Nei,Ja,Juleferie
2016-12-29,Gautesete skole,Nei,Ja,Juleferie
2016-12-30,Gautesete skole,Nei,Ja,Juleferie
2017-01-01,Gautesete skole,Nei,Nei,1. Nyttårsdag
2017-01-02,Gautesete skole,Nei,Ja,Planleggingsdag
2017-02-27,Gautesete skole,Nei,Ja,vinterferie
2017-02-28,Gautesete skole,Nei,Ja,vinterferie
2017-03-01,Gautesete skole,Nei,Ja,vinterferie
2017-03-02,Gautesete skole,Nei,Ja,vinterferie
2017-03-03,Gautesete skole,Nei,Ja,vinterferie
2017-04-09,Gautesete skole,Nei,Nei,Palmesøndag
2017-04-10,Gautesete skole,Nei,Ja,Påskeferie
2017-04-11,Gautesete skole,Nei,Ja,Påskeferie
2017-04-12,Gautesete skole,Nei,Ja,Påskeferie
2017-04-13,Gautesete skole,Nei,Nei,Skjærtorsdag
2017-04-14,Gautesete skole,Nei,Nei,Langfredag
2017-04-16,Gautesete skole,Nei,Nei,1. påskedag
2017-04-17,Gautesete skole,Nei,Nei,2. påskedag
2017-04-18,Gautesete skole,Nei,Ja,Planleggingsdag
2017-05-01,Gautesete skole,Nei,Nei,Off. Høytidsdag
2017-05-17,Gautesete skole,Nei,Nei,Grunnlovsdag
2017-05-25,Gautesete skole,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Gautesete skole,Nei,Ja,Fridag
2017-06-04,Gautesete skole,Nei,Nei,1. pinsedag
2017-06-05,Gautesete skole,Nei,Nei,2. pinsedag
2017-06-30,Gautesete skole,Nei,Ja,siste dag - sfo
2016-08-01,Godeset skole,Nei,Nei,Planleggingsdag
2016-08-02,Godeset skole,Nei,Ja,første dag - sfo
2016-08-15,Godeset skole,Nei,Nei,Planleggingsdag
2016-08-16,Godeset skole,Nei,Ja,Planleggingsdag
2016-08-17,Godeset skole,Nei,Nei,Planleggingsdag
2016-10-10,Godeset skole,Nei,Ja,Høstferie
2016-10-11,Godeset skole,Nei,Ja,Høstferie
2016-10-12,Godeset skole,Nei,Ja,Høstferie
2016-10-13,Godeset skole,Nei,Ja,Høstferie
2016-10-14,Godeset skole,Nei,Ja,Høstferie
2016-11-18,Godeset skole,Nei,Nei,Planleggingsdag
2016-12-22,Godeset skole,Nei,Ja,Juleferie
2016-12-23,Godeset skole,Nei,Ja,Juleferie
2016-12-25,Godeset skole,Nei,Nei,1. juledag
2016-12-26,Godeset skole,Nei,Nei,2. juledag
2016-12-27,Godeset skole,Nei,Ja,Juleferie
2016-12-28,Godeset skole,Nei,Ja,Juleferie
2016-12-29,Godeset skole,Nei,Ja,Juleferie
2016-12-30,Godeset skole,Nei,Ja,Juleferie
2017-01-01,Godeset skole,Nei,Nei,1. Nyttårsdag
2017-01-02,Godeset skole,Nei,Ja,Juleferie
2017-02-27,Godeset skole,Nei,Ja,Vinterferie
2017-02-28,Godeset skole,Nei,Ja,Vinterferie
2017-03-01,Godeset skole,Nei,Ja,Vinterferie
2017-03-02,Godeset skole,Nei,Ja,Vinterferie
2017-03-03,Godeset skole,Nei,Ja,Vinterferie
2017-04-09,Godeset skole,Nei,Nei,Palmesøndag
2017-04-10,Godeset skole,Nei,Ja,Påskeferie
2017-04-11,Godeset skole,Nei,Ja,Påskeferie
2017-04-12,Godeset skole,Nei,Ja,Påskeferie
2017-04-13,Godeset skole,Nei,Nei,Skjærtorsdag
2017-04-14,Godeset skole,Nei,Nei,Langfredag
2017-04-16,Godeset skole,Nei,Nei,1. påskedag
2017-04-17,Godeset skole,Nei,Nei,2. påskedag
2017-05-01,Godeset skole,Nei,Nei,Off. Høytidsdag
2017-05-17,Godeset skole,Nei,Nei,Grunnlovsdag
2017-05-25,Godeset skole,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Godeset skole,Nei,Nei,Planleggingsdag
2017-06-04,Godeset skole,Nei,Nei,1. pinsedag
2017-06-05,Godeset skole,Nei,Nei,2. pinsedag
2017-06-30,Godeset skole,Nei,Ja,siste dag - sfo
2016-08-01,Gosen skole,Nei,Nei,første dag - sfo
2016-08-15,Gosen skole,Nei,Nei,Planleggingsdag
2016-08-16,Gosen skole,Nei,Nei,Planleggingsdag
2016-08-17,Gosen skole,Nei,Nei,Planleggingsdag
2016-10-10,Gosen skole,Nei,Nei,Høstferie
2016-10-11,Gosen skole,Nei,Nei,Høstferie
2016-10-12,Gosen skole,Nei,Nei,Høstferie
2016-10-13,Gosen skole,Nei,Nei,Høstferie
2016-10-14,Gosen skole,Nei,Nei,Høstferie
2016-11-17,Gosen skole,Nei,Nei,Planleggingsdag
2016-11-18,Gosen skole,Nei,Nei,Planleggingsdag
2016-12-22,Gosen skole,Nei,Nei,Juleferie
2016-12-23,Gosen skole,Nei,Nei,Juleferie
2016-12-25,Gosen skole,Nei,Nei,1. juledag
2016-12-26,Gosen skole,Nei,Nei,2. juledag
2016-12-27,Gosen skole,Nei,Nei,Juleferie
2016-12-28,Gosen skole,Nei,Nei,Juleferie
2016-12-29,Gosen skole,Nei,Nei,Juleferie
2016-12-30,Gosen skole,Nei,Nei,Juleferie
2017-01-01,Gosen skole,Nei,Nei,1. Nyttårsdag
2017-02-27,Gosen skole,Nei,Nei,Vinterferie
2017-02-28,Gosen skole,Nei,Nei,Vinterferie
2017-03-01,Gosen skole,Nei,Nei,Vinterferie
2017-03-02,Gosen skole,Nei,Nei,Vinterferie
2017-03-03,Gosen skole,Nei,Nei,Vinterferie
2017-04-09,Gosen skole,Nei,Nei,Palmesøndag
2017-04-10,Gosen skole,Nei,Nei,Påskeferie
2017-04-11,Gosen skole,Nei,Nei,Påskeferie
2017-04-12,Gosen skole,Nei,Nei,Påskeferie
2017-04-13,Gosen skole,Nei,Nei,Skjærtorsdag
2017-04-14,Gosen skole,Nei,Nei,Langfredag
2017-04-16,Gosen skole,Nei,Nei,1. påskedag
2017-04-17,Gosen skole,Nei,Nei,2. påskedag
2017-05-01,Gosen skole,Nei,Nei,Off. Høytidsdag
2017-05-17,Gosen skole,Nei,Nei,Grunnlovsdag
2017-05-25,Gosen skole,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Gosen skole,Nei,Nei,Fridag
2017-06-04,Gosen skole,Nei,Nei,1. pinsedag
2017-06-05,Gosen skole,Nei,Nei,2. pinsedag
2016-08-01,Hafrsfjord skole,Nei,Ja,første dag - sfo
2016-08-12,Hafrsfjord skole,Nei,Nei,Planleggingsdag
2016-08-15,Hafrsfjord skole,Nei,Ja,Planleggingsdag
2016-08-16,Hafrsfjord skole,Nei,Ja,Planleggingsdag
2016-08-17,Hafrsfjord skole,Nei,Nei,Planleggingsdag
2016-10-10,Hafrsfjord skole,Nei,Ja,Høstferie
2016-10-11,Hafrsfjord skole,Nei,Ja,Høstferie
2016-10-12,Hafrsfjord skole,Nei,Ja,Høstferie
2016-10-13,Hafrsfjord skole,Nei,Ja,Høstferie
2016-10-14,Hafrsfjord skole,Nei,Ja,Høstferie
2016-11-17,Hafrsfjord skole,Nei,Nei,Planleggingsdag
2016-11-18,Hafrsfjord skole,Nei,Nei,Planleggingsdag
2016-12-22,Hafrsfjord skole,Nei,Ja,Juleferie
2016-12-23,Hafrsfjord skole,Nei,Ja,Juleferie
2016-12-25,Hafrsfjord skole,Nei,Nei,1. juledag
2016-12-26,Hafrsfjord skole,Nei,Nei,2. juledag
2016-12-27,Hafrsfjord skole,Nei,Ja,Juleferie
2016-12-28,Hafrsfjord skole,Nei,Ja,Juleferie
2016-12-29,Hafrsfjord skole,Nei,Ja,Juleferie
2016-12-30,Hafrsfjord skole,Nei,Ja,Juleferie
2017-01-01,Hafrsfjord skole,Nei,Nei,1. Nyttårsdag
2017-02-27,Hafrsfjord skole,Nei,Ja,Vinterferie
2017-02-28,Hafrsfjord skole,Nei,Ja,Vinterferie
2017-03-01,Hafrsfjord skole,Nei,Ja,Vinterferie
2017-03-02,Hafrsfjord skole,Nei,Ja,Vinterferie
2017-03-03,Hafrsfjord skole,Nei,Ja,Vinterferie
2017-04-09,Hafrsfjord skole,Nei,Nei,Palmesøndag
2017-04-10,Hafrsfjord skole,Nei,Ja,Påskeferie
2017-04-11,Hafrsfjord skole,Nei,Ja,Påskeferie
2017-04-12,Hafrsfjord skole,Nei,Ja,Påskeferie
2017-04-13,Hafrsfjord skole,Nei,Nei,Skjærtorsdag
2017-04-14,Hafrsfjord skole,Nei,Nei,Langfredag
2017-04-16,Hafrsfjord skole,Nei,Nei,1. påskedag
2017-04-17,Hafrsfjord skole,Nei,Nei,2. påskedag
2017-05-01,Hafrsfjord skole,Nei,Nei,Off. Høytidsdag
2017-05-17,Hafrsfjord skole,Nei,Nei,Grunnlovsdag
2017-05-25,Hafrsfjord skole,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Hafrsfjord skole,Nei,Nei,Planleggingsdag
2017-06-04,Hafrsfjord skole,Nei,Nei,1. pinsedag
2017-06-05,Hafrsfjord skole,Nei,Nei,2. pinsedag
2017-06-22,Hafrsfjord skole,Nei,Ja,Planleggingsdag
2017-06-30,Hafrsfjord skole,Nei,Ja,siste dag - sfo
2016-08-15,Hinna skole,Nei,Nei,Planleggingsdag
2016-08-16,Hinna skole,Nei,Nei,Planleggingsdag
2016-08-17,Hinna skole,Nei,Nei,Planleggingsdag
2016-10-10,Hinna skole,Nei,Nei,Høstferie
2016-10-11,Hinna skole,Nei,Nei,Høstferie
2016-10-12,Hinna skole,Nei,Nei,Høstferie
2016-10-13,Hinna skole,Nei,Nei,Høstferie
2016-10-14,Hinna skole,Nei,Nei,Høstferie
2016-11-18,Hinna skole,Nei,Nei,Planleggingsdag
2016-12-22,Hinna skole,Nei,Nei,Juleferie
2016-12-23,Hinna skole,Nei,Nei,Juleferie
2016-12-25,Hinna skole,Nei,Nei,1. juledag
2016-12-26,Hinna skole,Nei,Nei,2. juledag
2016-12-27,Hinna skole,Nei,Nei,Juleferie
2016-12-28,Hinna skole,Nei,Nei,Juleferie
2016-12-29,Hinna skole,Nei,Nei,Juleferie
2016-12-30,Hinna skole,Nei,Nei,Juleferie
2017-01-01,Hinna skole,Nei,Nei,1. Nyttårsdag
2017-01-02,Hinna skole,Nei,Nei,Planleggingsdag
2017-02-27,Hinna skole,Nei,Nei,Vinterferie
2017-02-28,Hinna skole,Nei,Nei,Vinterferie
2017-03-01,Hinna skole,Nei,Nei,Vinterferie
2017-03-02,Hinna skole,Nei,Nei,Vinterferie
2017-03-03,Hinna skole,Nei,Nei,Vinterferie
2017-04-09,Hinna skole,Nei,Nei,Palmesøndag
2017-04-10,Hinna skole,Nei,Nei,Påskeferie
2017-04-11,Hinna skole,Nei,Nei,Påskeferie
2017-04-12,Hinna skole,Nei,Nei,Påskeferie
2017-04-13,Hinna skole,Nei,Nei,Skjærtorsdag
2017-04-14,Hinna skole,Nei,Nei,Langfredag
2017-04-16,Hinna skole,Nei,Nei,1. påskedag
2017-04-17,Hinna skole,Nei,Nei,2. påskedag
2017-05-01,Hinna skole,Nei,Nei,Off. Høytidsdag
2017-05-17,Hinna skole,Nei,Nei,Grunnlovsdag
2017-05-25,Hinna skole,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Hinna skole,Nei,Nei,fridag
2017-06-04,Hinna skole,Nei,Nei,1. pinsedag
2017-06-05,Hinna skole,Nei,Nei,2. pinsedag
2016-08-01,Hundvåg skole,Nei,Nei,Planleggingsdag
2016-08-02,Hundvåg skole,Nei,Ja,første dag - sfo
2016-08-15,Hundvåg skole,Nei,Nei,Planleggingsdag
2016-08-16,Hundvåg skole,Nei,Nei,Planleggingsdag
2016-08-17,Hundvåg skole,Nei,Ja,Planleggingsdag
2016-10-10,Hundvåg skole,Nei,Ja,Høstferie
2016-10-11,Hundvåg skole,Nei,Ja,Høstferie
2016-10-12,Hundvåg skole,Nei,Ja,Høstferie
2016-10-13,Hundvåg skole,Nei,Ja,Høstferie
2016-10-14,Hundvåg skole,Nei,Ja,Høstferie
2016-11-18,Hundvåg skole,Nei,Nei,Planleggingsdag
2016-12-22,Hundvåg skole,Nei,Ja,Juleferie
2016-12-23,Hundvåg skole,Nei,Ja,Juleferie
2016-12-25,Hundvåg skole,Nei,Nei,1. juledag
2016-12-26,Hundvåg skole,Nei,Nei,2. juledag
2016-12-27,Hundvåg skole,Nei,Ja,Juleferie
2016-12-28,Hundvåg skole,Nei,Ja,Juleferie
